hours,high,low,average,open,close
02,7361.9,7116.4222,7193.404812013157,7349.6,7125.1378182
03,7206.0,7014.324431,7100.060279239801,7116.4222,7047.08298
04,7220.2,7028.0,7108.148431257268,7052.0,7213.275959999999
05,7306.1,7088.75811,7209.600050882538,7237.0,7097.557065000001
06,7142.3,6999.968655,7055.798335967028,7104.0,7095.0
07,7124.0,6997.422442499999,7044.902250745519,7079.278591300001,7041.0
08,7048.32213,6747.3293,6885.961756954027,7029.481470199999,7005.74617
09,7109.875595999999,6894.913565100001,7013.605839408462,7002.70503,6939.4
10,6951.0,6740.0,6821.685640567857,6950.0,6808.57697
11,6870.0,6644.4,6759.023359699803,6808.5,6824.305125
12,6820.2225495,6671.6233133999995,6720.474322898644,6820.2225495,6671.6233133999995
13,6729.0,6569.8853344,6643.000869106593,6671.6233133999995,6622.3
14,6722.5116,6377.0,6525.638532160985,6622.2722999,6679.8556633
15,7088.0,6682.49665,6854.611783683232,6682.49665,7088.0
16,7191.3429,6836.43096,7030.074159396717,7090.4,6976.8267829
17,7290.68905,6935.1,7138.343294400808,7002.6,7290.68905
18,7381.8,7164.0,7269.692425057146,7290.608489899999,7348.7429904
19,7363.9,6951.0,7121.059883523664,7363.9,7002.0
20,7094.234451,6852.4,6971.398849019618,7000.0,6915.378320000001
21,7059.0,6829.8767167999995,6959.898622677357,6914.0,6942.0
22,7084.824895999999,6904.9,6986.202784528697,6953.48259937,6913.1
23,6979.0,6847.6935644,6927.130467763399,6892.4,6931.268769600001
00,7106.7,6863.1994704,7010.9372940534,6904.057104,7074.0
01,7192.0,7050.0,7131.906229644944,7075.7554896,7136.2
