ID,MTS,AMOUNT,PRICE,fisher_transform,fft
264428921,1530550487611,-225.0,1.953e-05,1.9530000002567968e-05,(0.01956862+0j)
264428884,1530550473589,246.0,1.954e-05,1.9540000002487047e-05,(-7.136835538049732e-06-8.015083356870821e-05j)
264428848,1530550458844,-234.0,1.952e-05,1.952000000244889e-05,(3.916589231013302e-05-2.3135373057813544e-05j)
264428814,1530550448945,272.0,1.952e-05,1.952000000244889e-05,(-3.0925105312604164e-05-3.568114745695145e-05j)
264428746,1530550426905,143.0,1.951e-05,1.9510000002462865e-05,(1.7568465419969873e-05-1.5161790818163051e-05j)
264428662,1530550417078,-168.0,1.952e-05,1.952000000244889e-05,(-1.4655791785958648e-05-3.224609039871007e-06j)
264428619,1530550402952,-189.0,1.949e-05,1.9490000002445907e-05,(-5.33093925885909e-06-6.440903143878956e-06j)
264428593,1530550392086,208.0,1.95e-05,1.950000000249888e-05,(9.806263572253477e-06+5.062867548676837e-06j)
264428499,1530550367262,140.0,1.95e-05,1.950000000249888e-05,(1.9070276467709283e-06-3.0176762647932936e-06j)
264428442,1530550352161,-137.0,1.95e-05,1.950000000249888e-05,(5.4214528276363206e-06-3.769935250467636e-06j)
264428409,1530550342190,-131.0,1.952e-05,1.952000000244889e-05,(-2.336481882403593e-06-4.760032843880828e-06j)
264428379,1530550333126,-99.0,1.952e-05,1.952000000244889e-05,(6.208102961505525e-08-6.202192137233422e-06j)
264428234,1530550310418,-151.0,1.952e-05,1.952000000244889e-05,(2.5475963700762725e-06-7.60050494062569e-06j)
264428140,1530550294371,160.0,1.952e-05,1.952000000244889e-05,(5.770202067970305e-06-9.053334770618231e-07j)
264428131,1530550289353,126.0,1.95e-05,1.950000000249888e-05,(1.515296499290889e-06-4.650052180336965e-06j)
264428065,1530550270256,158.0,1.95e-05,1.950000000249888e-05,(3.3866228277406234e-06-2.929637729983024e-06j)
264427933,1530550246588,171.0,1.952e-05,1.952000000244889e-05,(4.991262772233339e-06+9.246470519988982e-07j)
264427912,1530550243584,188.0,1.952e-05,1.952000000244889e-05,(2.677629021607151e-06-1.4706034253113824e-06j)
264427857,1530550226384,-182.0,1.95e-05,1.950000000249888e-05,(2.1438323965467203e-06+1.1202851636368336e-06j)
264427778,1530550214540,-206.0,1.95e-05,1.950000000249888e-05,(3.959917420412636e-06+8.697463764515372e-07j)
264427676,1530550188945,-163.0,1.951e-05,1.9510000002462865e-05,(2.176399213738958e-06+2.85521462254614e-07j)
264427599,1530550173879,-175.0,1.951e-05,1.9510000002462865e-05,(2.7124188726149297e-06-1.3821110050257401e-06j)
264427580,1530550169502,124.0,1.953e-05,1.9530000002567968e-05,(3.2780169844879155e-06-1.5443901536120761e-06j)
264427539,1530550152911,-124.0,1.953e-05,1.9530000002567968e-05,(7.371734768141889e-07+1.629664789377005e-06j)
264427449,1530550131226,136.0,1.953e-05,1.9530000002567968e-05,(-1.3796770394054073e-06+1.2137069269847174e-07j)
264427289,1530550115670,-182.0,1.954e-05,1.9540000002487047e-05,(4.468497555206064e-06-2.537437957976821e-06j)
264427253,1530550108259,-127.0,1.952e-05,1.952000000244889e-05,(4.292532539769431e-06+2.479238627251481e-06j)
264427200,1530550093827,-176.0,1.952e-05,1.952000000244889e-05,(-5.103919908218098e-07-1.0091526355637244e-06j)
264427067,1530550069508,-197.0,1.951e-05,1.9510000002462865e-05,(2.527373119281769e-06-1.9002255876977307e-06j)
264427019,1530550058293,-192.0,1.95e-05,1.950000000249888e-05,(-1.233419003100195e-06+1.6177827392624762e-06j)
264426993,1530550045378,-23.0,1.952e-05,1.952000000244889e-05,(2.1720008978309345e-06+7.990411461058853e-07j)
264426992,1530550045307,-164.0,1.952e-05,1.952000000244889e-05,(1.3811420041767219e-06+1.558734761346034e-06j)
264426958,1530550035422,-169.0,1.952e-05,1.952000000244889e-05,(8.616914013492993e-07-1.562821450118693e-06j)
264426867,1530550011584,-226.0,1.953e-05,1.9530000002567968e-05,(2.3418637830643103e-07+9.698697059062771e-07j)
264426825,1530550002836,167.0,1.952e-05,1.952000000244889e-05,(1.3658657452908335e-06+7.390860268136749e-07j)
264426780,1530549985093,-225.0,1.954e-05,1.9540000002487047e-05,(2.177291886044866e-06+1.4212623580518432e-06j)
264426742,1530549974649,-153.0,1.954e-05,1.9540000002487047e-05,(4.805601666102393e-07+9.941744957561864e-07j)
264426625,1530549946959,144.0,1.955e-05,1.9550000002428163e-05,(2.234434090860977e-06-1.0038094859830548e-06j)
264426536,1530549930921,144.0,1.955e-05,1.9550000002428163e-05,(4.123485442988343e-07+6.116678160826156e-07j)
