hour_minute,high,low,average,open,close
14:01,1.92e-05,1.919e-05,1.9195000000000002e-05,1.919e-05,1.92e-05
14:02,1.923e-05,1.919e-05,1.921e-05,1.923e-05,1.919e-05
14:03,1.925e-05,1.922e-05,1.9234999999999998e-05,1.925e-05,1.922e-05
14:04,1.927e-05,1.925e-05,1.92575e-05,1.925e-05,1.926e-05
14:05,1.924e-05,1.92e-05,1.922e-05,1.92e-05,1.924e-05
14:06,1.92e-05,1.919e-05,1.91925e-05,1.919e-05,1.919e-05
14:07,1.921e-05,1.92e-05,1.9202499999999998e-05,1.92e-05,1.92e-05
14:08,1.922e-05,1.92e-05,1.92125e-05,1.922e-05,1.921e-05
14:09,1.926e-05,1.923e-05,1.9245e-05,1.926e-05,1.923e-05
14:10,1.927e-05,1.925e-05,1.9260000000000002e-05,1.927e-05,1.925e-05
14:11,1.926e-05,1.924e-05,1.925e-05,1.924e-05,1.926e-05
14:12,1.927e-05,1.924e-05,1.9254999999999998e-05,1.927e-05,1.924e-05
14:13,1.928e-05,1.926e-05,1.9271999999999998e-05,1.927e-05,1.927e-05
14:14,1.927e-05,1.925e-05,1.9262499999999997e-05,1.926e-05,1.927e-05
14:15,1.928e-05,1.927e-05,1.9274999999999998e-05,1.928e-05,1.927e-05
14:16,1.927e-05,1.925e-05,1.926e-05,1.925e-05,1.926e-05
14:18,1.924e-05,1.924e-05,1.924e-05,1.924e-05,1.924e-05
14:19,1.924e-05,1.922e-05,1.92275e-05,1.922e-05,1.923e-05
14:20,1.922e-05,1.921e-05,1.9214999999999998e-05,1.921e-05,1.922e-05
14:21,1.92e-05,1.919e-05,1.91925e-05,1.92e-05,1.919e-05
14:22,1.919e-05,1.919e-05,1.919e-05,1.919e-05,1.919e-05
14:23,1.919e-05,1.917e-05,1.91775e-05,1.918e-05,1.917e-05
14:24,1.918e-05,1.916e-05,1.91725e-05,1.918e-05,1.916e-05
14:25,1.919e-05,1.918e-05,1.9185e-05,1.919e-05,1.918e-05
14:26,1.919e-05,1.917e-05,1.9180000000000003e-05,1.919e-05,1.917e-05
14:27,1.921e-05,1.92e-05,1.9205e-05,1.921e-05,1.92e-05
14:28,1.922e-05,1.92e-05,1.921e-05,1.921e-05,1.921e-05
14:29,1.922e-05,1.92e-05,1.92125e-05,1.921e-05,1.922e-05
14:30,1.925e-05,1.92e-05,1.9225e-05,1.924e-05,1.921e-05
14:31,1.925e-05,1.922e-05,1.92375e-05,1.925e-05,1.923e-05
14:32,1.924e-05,1.922e-05,1.92325e-05,1.923e-05,1.924e-05
14:33,1.925e-05,1.923e-05,1.9240000000000002e-05,1.925e-05,1.923e-05
14:34,1.925e-05,1.924e-05,1.9242499999999997e-05,1.924e-05,1.924e-05
14:35,1.925e-05,1.923e-05,1.92375e-05,1.924e-05,1.923e-05
14:36,1.928e-05,1.925e-05,1.92625e-05,1.927e-05,1.925e-05
14:37,1.928e-05,1.927e-05,1.9275e-05,1.927e-05,1.928e-05
14:38,1.927e-05,1.924e-05,1.9254999999999998e-05,1.924e-05,1.927e-05
14:39,1.924e-05,1.922e-05,1.923e-05,1.923e-05,1.923e-05
14:40,1.923e-05,1.923e-05,1.923e-05,1.923e-05,1.923e-05
14:41,1.924e-05,1.922e-05,1.92325e-05,1.924e-05,1.923e-05
14:42,1.925e-05,1.924e-05,1.92475e-05,1.925e-05,1.925e-05
14:43,1.924e-05,1.922e-05,1.92325e-05,1.923e-05,1.924e-05
14:44,1.923e-05,1.921e-05,1.9220000000000002e-05,1.921e-05,1.923e-05
14:45,1.923e-05,1.92e-05,1.9214999999999998e-05,1.922e-05,1.921e-05
14:46,1.923e-05,1.921e-05,1.92175e-05,1.921e-05,1.922e-05
14:47,1.922e-05,1.922e-05,1.922e-05,1.922e-05,1.922e-05
14:48,1.925e-05,1.923e-05,1.9243333333333336e-05,1.925e-05,1.923e-05
14:49,1.924e-05,1.921e-05,1.92275e-05,1.922e-05,1.924e-05
14:50,1.921e-05,1.919e-05,1.9202499999999998e-05,1.921e-05,1.92e-05
14:51,1.923e-05,1.921e-05,1.9220000000000002e-05,1.923e-05,1.921e-05
14:52,1.921e-05,1.92e-05,1.9206666666666667e-05,1.92e-05,1.921e-05
14:53,1.92e-05,1.92e-05,1.92e-05,1.92e-05,1.92e-05
14:54,1.92e-05,1.92e-05,1.92e-05,1.92e-05,1.92e-05
14:57,1.922e-05,1.919e-05,1.921e-05,1.922e-05,1.919e-05
14:58,1.923e-05,1.921e-05,1.92175e-05,1.921e-05,1.922e-05
14:59,1.922e-05,1.921e-05,1.92175e-05,1.922e-05,1.921e-05
15:00,1.926e-05,1.923e-05,1.9244e-05,1.925e-05,1.923e-05
15:01,1.926e-05,1.923e-05,1.925e-05,1.926e-05,1.925e-05
15:02,1.928e-05,1.926e-05,1.927e-05,1.928e-05,1.926e-05
15:03,1.931e-05,1.928e-05,1.9294999999999997e-05,1.931e-05,1.928e-05
15:04,1.932e-05,1.93e-05,1.931e-05,1.93e-05,1.932e-05
15:05,1.928e-05,1.926e-05,1.9269999999999997e-05,1.926e-05,1.928e-05
15:06,1.927e-05,1.925e-05,1.92575e-05,1.926e-05,1.925e-05
15:07,1.925e-05,1.923e-05,1.92425e-05,1.924e-05,1.925e-05
15:08,1.927e-05,1.925e-05,1.9260000000000002e-05,1.927e-05,1.925e-05
15:09,1.926e-05,1.925e-05,1.92525e-05,1.925e-05,1.925e-05
15:10,1.929e-05,1.925e-05,1.9265e-05,1.929e-05,1.925e-05
15:11,1.93e-05,1.928e-05,1.92925e-05,1.929e-05,1.93e-05
15:12,1.929e-05,1.927e-05,1.92775e-05,1.927e-05,1.928e-05
15:13,1.927e-05,1.923e-05,1.925e-05,1.924e-05,1.926e-05
15:14,1.928e-05,1.925e-05,1.92625e-05,1.927e-05,1.925e-05
15:15,1.926e-05,1.922e-05,1.92375e-05,1.922e-05,1.925e-05
15:16,1.923e-05,1.921e-05,1.9220000000000002e-05,1.923e-05,1.921e-05
15:17,1.922e-05,1.92e-05,1.92075e-05,1.92e-05,1.921e-05
15:18,1.92e-05,1.919e-05,1.91925e-05,1.919e-05,1.919e-05
15:19,1.92e-05,1.919e-05,1.9195e-05,1.92e-05,1.919e-05
15:20,1.922e-05,1.92e-05,1.92075e-05,1.92e-05,1.921e-05
15:21,1.925e-05,1.921e-05,1.9225e-05,1.923e-05,1.921e-05
15:22,1.955e-05,1.922e-05,1.9281666666666665e-05,1.924e-05,1.922e-05
