SMA,EWM
1.9512999999999994e-05,1.9506363636363635e-05
1.9512e-05,1.9507636363636365e-05
1.951e-05,1.9509090909090913e-05
1.951e-05,1.951090909090909e-05
1.951e-05,1.9512727272727273e-05
1.9509e-05,1.951090909090909e-05
1.9506999999999998e-05,1.950927272727273e-05
1.951e-05,1.9511636363636364e-05
1.9512000000000002e-05,1.9513454545454547e-05
1.9512000000000002e-05,1.9511272727272728e-05
1.9511999999999995e-05,1.950909090909091e-05
1.9511e-05,1.9508727272727274e-05
1.951e-05,1.9508545454545453e-05
1.9511000000000003e-05,1.951218181818182e-05
1.9512000000000002e-05,1.9515636363636362e-05
1.9515e-05,1.951890909090909e-05
1.9519e-05,1.9523454545454542e-05
1.9519e-05,1.9523636363636366e-05
1.9519000000000004e-05,1.952381818181818e-05
1.952e-05,1.952218181818182e-05
1.9520000000000003e-05,1.9518545454545458e-05
1.9520999999999998e-05,1.9518545454545458e-05
1.9522e-05,1.951836363636364e-05
1.9520999999999998e-05,1.9518000000000002e-05
1.9520999999999998e-05,1.9519636363636364e-05
1.9519999999999996e-05,1.9519454545454546e-05
1.952e-05,1.9523090909090906e-05
1.9522e-05,1.9526727272727273e-05
1.9525e-05,1.9531818181818184e-05
1.9529000000000002e-05,1.9536363636363636e-05
1.9532999999999997e-05,1.953836363636364e-05
1.9535000000000002e-05,1.9539636363636364e-05
1.9539e-05,1.954418181818182e-05
1.9542000000000004e-05,1.9546181818181817e-05
1.9545e-05,1.9549454545454545e-05
1.9549000000000002e-05,1.9552181818181816e-05
1.9551000000000003e-05,1.9554181818181817e-05
1.9554000000000003e-05,1.9557636363636363e-05
1.9554000000000003e-05,1.955690909090909e-05
1.9554000000000003e-05,1.9556181818181818e-05
1.9556e-05,1.9557272727272727e-05
1.9557999999999998e-05,1.9558e-05
1.9557999999999998e-05,1.955836363636364e-05
1.9559e-05,1.9558727272727272e-05
1.9561e-05,1.9562545454545456e-05
1.9563e-05,1.9565999999999995e-05
1.9565e-05,1.956909090909091e-05
1.9566e-05,1.9571818181818184e-05
1.9569999999999997e-05,1.9576181818181818e-05
1.9573999999999996e-05,1.9579818181818178e-05
1.9577e-05,1.958272727272727e-05
1.958e-05,1.958509090909091e-05
1.9581999999999996e-05,1.958509090909091e-05
1.9584e-05,1.9584727272727275e-05
1.9583e-05,1.9582181818181818e-05
1.9582e-05,1.957981818181818e-05
1.9581e-05,1.9577636363636363e-05
1.9580000000000002e-05,1.9575636363636365e-05
1.9577000000000002e-05,1.9572e-05
1.9574000000000003e-05,1.9568909090909095e-05
1.9572e-05,1.9568181818181817e-05
1.957e-05,1.956781818181818e-05
1.9571e-05,1.9571454545454545e-05
1.9571e-05,1.957309090909091e-05
1.9572999999999997e-05,1.957654545454545e-05
1.9574999999999998e-05,1.957963636363636e-05
1.9579e-05,1.9586e-05
1.9583000000000002e-05,1.9591636363636366e-05
1.959e-05,1.960018181818182e-05
1.9596e-05,1.960563636363636e-05
