hours,high,low,average,open,close
15,4.04e-06,3.96e-06,4.0124e-06,4.04e-06,4.01e-06
16,4.15e-06,4.1e-06,4.115e-06,4.1e-06,4.15e-06
17,4.1e-06,4.02e-06,4.078571428571428e-06,4.09e-06,4.1e-06
18,4.12e-06,4.12e-06,4.12e-06,4.12e-06,4.12e-06
19,4.11e-06,4.07e-06,4.096666666666667e-06,4.11e-06,4.07e-06
20,4.16e-06,4.16e-06,4.16e-06,4.16e-06,4.16e-06
23,3.97e-06,3.94e-06,3.962500000000001e-06,3.94e-06,3.97e-06
00,4.25e-06,4.02e-06,4.131333333333333e-06,4.23e-06,4.02e-06
01,4.01e-06,4.01e-06,4.01e-06,4.01e-06,4.01e-06
02,4e-06,4e-06,4e-06,4e-06,4e-06
06,3.94e-06,3.91e-06,3.9300000000000005e-06,3.91e-06,3.94e-06
07,3.9e-06,3.87e-06,3.891428571428572e-06,3.87e-06,3.9e-06
08,3.8e-06,3.76e-06,3.7733333333333333e-06,3.76e-06,3.8e-06
09,3.9e-06,3.86e-06,3.886666666666667e-06,3.9e-06,3.86e-06
12,3.9e-06,3.88e-06,3.89e-06,3.88e-06,3.9e-06
13,3.88e-06,3.88e-06,3.88e-06,3.88e-06,3.88e-06
14,3.96e-06,3.9e-06,3.92e-06,3.9e-06,3.9e-06
15,4.24e-06,3.83e-06,3.915333333333334e-06,3.83e-06,3.92e-06
16,3.93e-06,3.82e-06,3.887333333333334e-06,3.83e-06,3.82e-06
17,3.81e-06,3.78e-06,3.795e-06,3.78e-06,3.79e-06
18,3.95e-06,3.8e-06,3.885714285714286e-06,3.95e-06,3.8e-06
00,4.04e-06,3.95e-06,3.992307692307692e-06,3.98e-06,3.99e-06
01,3.98e-06,3.98e-06,3.98e-06,3.98e-06,3.98e-06
02,3.99e-06,3.97e-06,3.986875e-06,3.99e-06,3.98e-06
03,3.82e-06,3.79e-06,3.8033333333333335e-06,3.79e-06,3.82e-06
05,3.78e-06,3.69e-06,3.7150000000000004e-06,3.69e-06,3.78e-06
06,3.72e-06,3.43e-06,3.543269230769231e-06,3.43e-06,3.62e-06
07,3.53e-06,3.53e-06,3.53e-06,3.53e-06,3.53e-06
08,3.41e-06,3.41e-06,3.41e-06,3.41e-06,3.41e-06
09,3.52e-06,3.52e-06,3.52e-06,3.52e-06,3.52e-06
10,3.54e-06,3.48e-06,3.5040000000000002e-06,3.54e-06,3.48e-06
11,3.63e-06,3.57e-06,3.6060000000000003e-06,3.63e-06,3.57e-06
12,3.66e-06,3.59e-06,3.6275000000000004e-06,3.66e-06,3.6000000000000003e-06
14,3.61e-06,3.6000000000000003e-06,3.6033333333333333e-06,3.61e-06,3.6000000000000003e-06
16,3.64e-06,3.64e-06,3.64e-06,3.64e-06,3.64e-06
17,3.59e-06,3.59e-06,3.59e-06,3.59e-06,3.59e-06
18,3.78e-06,3.58e-06,3.713e-06,3.7000000000000006e-06,3.58e-06
19,3.73e-06,3.63e-06,3.6799999999999995e-06,3.73e-06,3.66e-06
00,3.76e-06,3.76e-06,3.76e-06,3.76e-06,3.76e-06
02,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06
04,3.56e-06,3.56e-06,3.56e-06,3.56e-06,3.56e-06
06,3.65e-06,3.64e-06,3.6424999999999994e-06,3.65e-06,3.64e-06
07,3.67e-06,3.67e-06,3.67e-06,3.67e-06,3.67e-06
08,3.66e-06,3.66e-06,3.66e-06,3.66e-06,3.66e-06
11,3.65e-06,3.65e-06,3.65e-06,3.65e-06,3.65e-06
12,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06,3.7000000000000006e-06
13,3.73e-06,3.73e-06,3.73e-06,3.73e-06,3.73e-06
14,3.76e-06,3.69e-06,3.7142857142857146e-06,3.7000000000000006e-06,3.74e-06
15,3.69e-06,3.68e-06,3.6857142857142853e-06,3.68e-06,3.68e-06
16,3.74e-06,3.74e-06,3.74e-06,3.74e-06,3.74e-06
18,3.88e-06,3.44e-06,3.6761643835616444e-06,3.79e-06,3.74e-06
22,3.8e-06,3.78e-06,3.7900000000000006e-06,3.79e-06,3.8e-06
01,3.73e-06,3.73e-06,3.73e-06,3.73e-06,3.73e-06
