hour_minute,high,low,average,open,close
15:29,4.01e-06,4e-06,4.0057142857142864e-06,4e-06,4.01e-06
15:31,3.98e-06,3.98e-06,3.98e-06,3.98e-06,3.98e-06
15:33,3.98e-06,3.96e-06,3.97e-06,3.98e-06,3.96e-06
15:34,4.02e-06,4.01e-06,4.016666666666667e-06,4.02e-06,4.01e-06
15:35,4.03e-06,4.02e-06,4.025e-06,4.03e-06,4.02e-06
15:37,4e-06,4e-06,4e-06,4e-06,4e-06
15:39,4.03e-06,4.03e-06,4.03e-06,4.03e-06,4.03e-06
15:40,4.04e-06,4.04e-06,4.04e-06,4.04e-06,4.04e-06
16:05,4.15e-06,4.15e-06,4.15e-06,4.15e-06,4.15e-06
16:09,4.15e-06,4.1e-06,4.125e-06,4.1e-06,4.15e-06
16:34,4.11e-06,4.1e-06,4.105e-06,4.1e-06,4.11e-06
16:35,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4.1e-06
17:05,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4.1e-06
17:06,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4.1e-06
17:07,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4.1e-06
17:08,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4.1e-06
17:57,4.09e-06,4.02e-06,4.0625000000000005e-06,4.09e-06,4.05e-06
18:56,4.12e-06,4.12e-06,4.12e-06,4.12e-06,4.12e-06
19:48,4.07e-06,4.07e-06,4.07e-06,4.07e-06,4.07e-06
19:55,4.11e-06,4.11e-06,4.11e-06,4.11e-06,4.11e-06
19:58,4.11e-06,4.11e-06,4.11e-06,4.11e-06,4.11e-06
20:57,4.16e-06,4.16e-06,4.16e-06,4.16e-06,4.16e-06
23:48,3.97e-06,3.97e-06,3.97e-06,3.97e-06,3.97e-06
23:49,3.97e-06,3.97e-06,3.97e-06,3.97e-06,3.97e-06
23:51,3.97e-06,3.97e-06,3.97e-06,3.97e-06,3.97e-06
23:52,3.94e-06,3.94e-06,3.94e-06,3.94e-06,3.94e-06
00:31,4.22e-06,4.02e-06,4.068e-06,4.22e-06,4.02e-06
00:32,4.25e-06,4.1e-06,4.16e-06,4.25e-06,4.19e-06
00:36,4.23e-06,4.14e-06,4.17e-06,4.23e-06,4.14e-06
01:51,4.01e-06,4.01e-06,4.01e-06,4.01e-06,4.01e-06
01:52,4.01e-06,4.01e-06,4.01e-06,4.01e-06,4.01e-06
02:00,4e-06,4e-06,4e-06,4e-06,4e-06
06:54,3.94e-06,3.94e-06,3.94e-06,3.94e-06,3.94e-06
06:58,3.91e-06,3.91e-06,3.91e-06,3.91e-06,3.91e-06
07:08,3.9e-06,3.9e-06,3.9e-06,3.9e-06,3.9e-06
