SMA,EWM
4.040999999999999e-06,4.057636363636364e-06
4.044e-06,4.057454545454545e-06
4.0540000000000005e-06,4.069454545454545e-06
4.0639999999999995e-06,4.079636363636364e-06
4.055999999999999e-06,4.055272727272727e-06
4.0469999999999995e-06,4.030545454545455e-06
4.039000000000001e-06,4.014727272727272e-06
4.033e-06,4.004e-06
4.015e-06,3.987090909090909e-06
4.003e-06,3.973454545454546e-06
3.986999999999999e-06,3.962e-06
3.977e-06,3.953454545454546e-06
3.96e-06,3.946727272727273e-06
3.943e-06,3.943090909090909e-06
3.944e-06,3.942545454545455e-06
3.946000000000001e-06,3.941818181818183e-06
3.953e-06,3.957090909090909e-06
3.961e-06,3.976545454545454e-06
3.973e-06,3.994545454545455e-06
3.9839999999999995e-06,4.008545454545455e-06
3.9930000000000006e-06,4.016909090909092e-06
4.0030000000000005e-06,4.025454545454546e-06
4.015e-06,4.0358181818181815e-06
4.028e-06,4.045818181818182e-06
4.041e-06,4.053454545454546e-06
4.05e-06,4.051454545454546e-06
4.05e-06,4.0478181818181815e-06
4.0469999999999995e-06,4.044181818181818e-06
4.044e-06,4.041090909090909e-06
4.039000000000001e-06,4.033090909090909e-06
4.036000000000001e-06,4.026e-06
4.031000000000001e-06,4.017636363636363e-06
4.024e-06,4.010181818181818e-06
4.016e-06,4.004e-06
4.008e-06,3.9992727272727275e-06
3.996e-06,3.9814545454545455e-06
3.9839999999999995e-06,3.965818181818182e-06
3.978e-06,3.963272727272727e-06
3.971e-06,3.959999999999999e-06
3.964e-06,3.952545454545455e-06
3.9619999999999995e-06,3.955454545454545e-06
3.959999999999999e-06,3.95690909090909e-06
3.957e-06,3.95690909090909e-06
3.953e-06,3.955636363636364e-06
3.945e-06,3.947818181818182e-06
3.94e-06,3.932363636363637e-06
3.934e-06,3.916000000000001e-06
3.924999999999999e-06,3.906181818181818e-06
3.912e-06,3.888909090909091e-06
3.892e-06,3.8558181818181815e-06
3.867999999999999e-06,3.828181818181818e-06
3.846e-06,3.806727272727273e-06
3.825000000000001e-06,3.789272727272728e-06
3.8090000000000003e-06,3.782909090909091e-06
3.8019999999999998e-06,3.788545454545455e-06
3.7999999999999996e-06,3.7954545454545455e-06
3.797e-06,3.7990909090909092e-06
3.796e-06,3.8123636363636367e-06
3.795e-06,3.816727272727273e-06
3.8019999999999993e-06,3.8176363636363635e-06
3.8089999999999994e-06,3.819090909090909e-06
3.815e-06,3.8192727272727275e-06
3.8209999999999995e-06,3.818363636363637e-06
3.825e-06,3.819999999999999e-06
3.824000000000001e-06,3.820909090909091e-06
3.819e-06,3.8147272727272726e-06
3.815e-06,3.8076363636363636e-06
3.8049999999999996e-06,3.7994545454545454e-06
3.799e-06,3.7912727272727267e-06
3.7949999999999992e-06,3.784181818181818e-06
3.79e-06,3.777818181818181e-06
3.782e-06,3.766909090909091e-06
3.773e-06,3.7556363636363635e-06
3.7569999999999994e-06,3.736909090909091e-06
3.747e-06,3.7319999999999996e-06
3.7410000000000003e-06,3.728909090909091e-06
3.7340000000000006e-06,3.723272727272727e-06
3.729e-06,3.720727272727273e-06
3.725e-06,3.719090909090909e-06
3.723e-06,3.7218181818181816e-06
3.7200000000000004e-06,3.723090909090909e-06
3.7200000000000004e-06,3.724909090909091e-06
3.7209999999999996e-06,3.7267272727272727e-06
3.725e-06,3.724727272727273e-06
3.7240000000000003e-06,3.7238181818181818e-06
3.7239999999999994e-06,3.724909090909091e-06
3.7240000000000003e-06,3.722363636363636e-06
3.7240000000000003e-06,3.7216363636363635e-06
3.7239999999999994e-06,3.7209090909090904e-06
3.723e-06,3.7219999999999997e-06
3.722e-06,3.7214545454545454e-06
3.722e-06,3.72290909090909e-06
3.722e-06,3.724363636363636e-06
3.7239999999999994e-06,3.7258181818181815e-06
3.725e-06,3.726909090909091e-06
3.725e-06,3.7278181818181816e-06
3.725e-06,3.725090909090909e-06
3.726e-06,3.7259999999999996e-06
3.727e-06,3.7267272727272727e-06
3.727e-06,3.7272727272727274e-06
3.728e-06,3.7278181818181816e-06
3.728e-06,3.7281818181818186e-06
3.728e-06,3.728545454545455e-06
3.729e-06,3.730727272727273e-06
3.7279999999999997e-06,3.729090909090909e-06
3.7279999999999997e-06,3.729454545454545e-06
3.73e-06,3.7298181818181814e-06
3.732e-06,3.733454545454545e-06
3.732e-06,3.733090909090909e-06
3.7329999999999997e-06,3.734545454545455e-06
3.735e-06,3.7376363636363643e-06
3.7370000000000004e-06,3.7403636363636364e-06
3.7370000000000004e-06,3.739090909090909e-06
3.7360000000000003e-06,3.737818181818181e-06
3.7369999999999995e-06,3.7367272727272726e-06
