ID,MTS,AMOUNT,PRICE
264866327,1530649083487,0.48059839,6610.1
264866326,1530649083485,0.33231261,6610.1
264866325,1530649083483,1.187089,6610.1
264866304,1530649072016,-0.3,6610.0
264866256,1530649042761,0.0442,6610.1
264866241,1530649031216,0.019511,6610.1
264866225,1530649020886,-0.3,6610.0
264866213,1530649014644,0.0442,6610.1
264866190,1530649000844,-0.00757492,6610.0
264866177,1530648993798,1.155,6610.1
264866156,1530648984364,-0.1,6610.0
264866155,1530648984361,0.05,6610.1
264866097,1530648958606,-1.95108674,6610.0
264866096,1530648958602,-0.24891326,6610.0
264866095,1530648958043,0.0729054,6610.1
264866087,1530648955936,-0.05,6610.0
264866085,1530648952916,-0.0811,6610.0
264866076,1530648948533,-0.01996,6610.0
264866075,1530648948530,0.002,6610.1
264866061,1530648941263,-0.0811,6610.0
264866025,1530648922586,-0.019049,6610.0
264866017,1530648920771,0.05,6610.1
264866007,1530648919122,-0.0811,6610.0
264865999,1530648915640,0.05954092,6610.1
264865998,1530648915639,0.07845908,6610.1
264865996,1530648913529,0.11446146,6610.1
264865994,1530648913218,0.05707946,6610.1
264865992,1530648912589,0.129,6610.1
264865946,1530648897731,-0.2,6610.0
264865942,1530648893400,0.09983824,6610.1
264865935,1530648887556,-0.05,6610.0
264865923,1530648882874,-0.06937,6610.0
264865879,1530648865724,0.56794613,6608.3
264865839,1530648858872,0.10738447,6606.9
264865833,1530648856615,-0.3,6606.8
264865809,1530648852601,0.0032405,6606.9
264865801,1530648851811,0.32719177,6606.8
264865748,1530648846707,0.03,6605.0
264865744,1530648846210,0.675,6604.0
264865741,1530648845522,0.325,6603.8
264865727,1530648843288,0.0172704,6603.8
264865697,1530648836771,-0.01,6603.7
264865663,1530648834533,0.02543435,6603.8
264865607,1530648830781,0.3074702,6603.8
264865606,1530648830780,0.4,6603.8
264865605,1530648830778,0.52576267,6603.8
264865604,1530648830776,0.4,6603.8
264865603,1530648830774,0.47008717,6603.8
264865602,1530648830772,0.34834222,6603.8
264865601,1530648830769,0.54415216,6603.8
264865600,1530648830767,0.24842291,6603.8
264865599,1530648830764,0.52576267,6603.8
264865585,1530648828875,-0.02,6606.4
264865584,1530648828872,-0.09781218,6606.4
264865573,1530648827930,0.005,6606.5
264865563,1530648827846,-0.8981,6606.4
264865562,1530648827842,-0.0819,6606.4
264865544,1530648827032,-0.02,6608.6
264865528,1530648826612,-4.26699153,6598.1
264865527,1530648826610,-0.3412431,6598.4
264865526,1530648826608,-0.38179695,6598.4
264865525,1530648826606,-2.0,6598.85687624
264865523,1530648826597,-2.0,6599.0
264865522,1530648826594,-0.003,6599.0901668
264865520,1530648826587,-0.05,6599.39218209
264865517,1530648826578,-0.5,6599.5
264865516,1530648826575,-0.28238207,6599.6
264865515,1530648826573,-0.05,6599.8
264865514,1530648826571,-0.03,6599.8
264865513,1530648826570,-0.0901,6600.0
264865512,1530648826569,-1.0,6600.0
264865511,1530648826567,-0.002,6600.0
264865510,1530648826564,-0.3,6600.3
264865509,1530648826563,-0.05,6600.8
264865508,1530648826560,-0.1,6601.0
264865507,1530648826558,-0.003,6601.1
264865506,1530648826553,-0.003,6601.1
264865505,1530648826549,-13.66,6601.3
264865504,1530648826547,-0.33740735,6601.7
264865503,1530648826545,-0.33184679,6601.7
264865502,1530648826542,-0.88,6601.8
264865501,1530648826540,-0.2,6601.9
264865499,1530648826537,-0.10017791,6602.19527808
264865497,1530648826535,-0.3,6602.5
264865496,1530648826533,-0.27450739,6602.8
264865493,1530648826487,-4.29690845,6602.8
264865492,1530648826425,-0.58476308,6602.9
264865491,1530648826422,-0.2379,6603.0
