ID,MTS,AMOUNT,PRICE
264866224,1530649020842,-2.88,9.001
264866223,1530649020811,-2.54,9.001
264866222,1530649020707,-2.16,9.001
264866221,1530649020624,-3.64,9.001
264866220,1530649020552,-2.03,9.001
264866219,1530649020532,-3.11,9.001
264866168,1530648988148,29.354,8.9999
264866157,1530648984425,-2.0,8.9998
264866129,1530648970943,8.0,8.9962
264866128,1530648970940,10.0,8.995
264866124,1530648968718,185.87823918,8.9999
264866123,1530648968716,2.0,8.9953
264866122,1530648968623,3.91,8.9891
264866121,1530648968437,6.09,8.9891
264866118,1530648967381,8.0,8.9904
264866117,1530648967379,10.0,8.9891
264866105,1530648966979,10.0,8.9892
264866099,1530648960247,-2.0,8.9887
264866074,1530648948233,-5.24341856,9.0
264866073,1530648948231,-30.0,9.0
264866072,1530648948229,-500.0,9.001
264866071,1530648948227,-8.0,9.0022
264866070,1530648948175,-500.0,9.0033
264866069,1530648947807,-24.42,9.0033
264866024,1530648922044,-3.74,9.0033
264866023,1530648922013,-3.44,9.0033
264866022,1530648921922,-5.48,9.0033
264866021,1530648921920,-8.81,9.0033
264866019,1530648921242,-3.57,9.0033
264866018,1530648920853,-2.0,9.0033
264866009,1530648920432,-2.54,9.0033
264865997,1530648914696,145.0,9.0034
264865995,1530648913406,130.25,9.0034
264865958,1530648899435,118.0,9.0033
264865957,1530648899433,8.0,9.0032
264865933,1530648887022,382.0,9.0033
264865932,1530648887021,100.0,9.0033
264865931,1530648887017,10.0,9.0031
264865930,1530648887014,8.0,9.003
264865926,1530648885669,-100.0,9.0002
264865904,1530648879240,-500.0,9.0031
264865887,1530648868342,-118.03400094,9.0038
264865886,1530648868339,-123.96599906,9.0053
264865885,1530648868336,-8.0,9.0059
264865856,1530648861413,222.0,9.0
264865846,1530648859579,3.0,8.9951
264865820,1530648854081,3.0,8.9921
264865811,1530648853392,900.0,8.99
264865804,1530648851950,214.42,8.9892
264865798,1530648851242,123.96599906,8.989
264865797,1530648851239,31.58955223,8.989
264865771,1530648848247,7.58,8.9892
264865770,1530648848040,3.06,8.9882
264865769,1530648848031,2.07,8.9882
