ID,MTS,AMOUNT,PRICE
264428417,1530550345008,5.05198442,0.0025209
264428216,1530550307714,-1.67267148,0.00252
264428210,1530550306798,-10.32690875,0.00252
264428173,1530550299244,-1.0,0.00252
264427343,1530550123419,-38.00501155,0.002522
264427034,1530550064750,-11.99498845,0.002522
264426850,1530550009956,17.61860562,0.0025242
264426849,1530550009954,1.21635556,0.0025242
264426848,1530550009952,6.00258111,0.0025241
264426847,1530550009949,55.0,0.0025241
264426846,1530550009947,8.12895629,0.0025241
264426845,1530550009945,8.22912013,0.0025241
264426844,1530550009943,3.00386894,0.0025241
264426811,1530549996006,0.80051235,0.002524
264426777,1530549984700,48.34927892,0.002524
264426776,1530549984699,6.00258111,0.0025239
264426465,1530549922789,-5.65490917,0.0025221
264426284,1530549895668,-178.2782939,0.0025221
264425766,1530549729186,-2.66,0.002521
264424001,1530549343843,-30.65680792,0.002522
264424000,1530549343842,-5.99952003,0.0025221
264423922,1530549330693,-207.8693,0.002522
264423308,1530549204459,-1.4641926,0.002522
264423307,1530549204457,-22.43555459,0.0025222
264423297,1530549201677,3.60020362,0.0025222
264423296,1530549201675,3.12924179,0.0025222
264423295,1530549201672,55.0,0.0025221
264423294,1530549201669,15.835,0.0025221
264423220,1530549189258,14.85571812,0.0025221
264423219,1530549189257,1.28206998,0.0025221
264423218,1530549189255,1.22332362,0.0025221
264423217,1530549189254,1.12387461,0.0025221
264423216,1530549189253,1.19561295,0.0025221
264422729,1530549108622,-145.52539867,0.002522
264422634,1530549096692,-4.82253,0.002522
264420953,1530548878299,-4.81472,0.002522
264420761,1530548849777,-4.81278,0.002522
264420720,1530548844214,-14.43652,0.002522
264420697,1530548840059,-6.0020407,0.002522
264420503,1530548814172,-2.96234,0.002522
264420139,1530548769345,-4.39278011,0.002522
264419277,1530548718576,-14.45095,0.002522
264419022,1530548692311,-43.34347,0.002522
264418855,1530548675526,-14.44617,0.002522
264418819,1530548673111,-10.07172019,0.0025231
264418815,1530548672377,-4.81354,0.0025231
264418778,1530548669338,-14.44217,0.0025231
264418739,1530548666228,-19.53003863,0.0025234
264418737,1530548666227,-13.17800653,0.0025245
264418735,1530548666225,-42.29695484,0.0025245
264418734,1530548666093,-4.995,0.0025245
264418733,1530548666032,-93.576,0.0025245
264418488,1530548644352,-43.3048,0.0025245
264418487,1530548644350,-6.6952,0.002526
264418486,1530548644347,-3.3048,0.002526
264418485,1530548644345,-1.5,0.0025268
264416196,1530548441205,1.065,0.002528
264416190,1530548439934,2.003003,0.0025281
264415500,1530548406527,-16.00981542,0.002527
264415045,1530548350461,3.94539572,0.0025316
264414949,1530548334832,-19.5817016,0.0025293
264414947,1530548334830,-25.0,0.0025297
264414948,1530548334830,-5.96462974,0.0025293
264414946,1530548334828,-17.289205,0.0025298
264414944,1530548334250,4.17055503,0.0025337
264414943,1530548334248,15.78,0.0025325
264414814,1530548314825,-21.710795,0.0025298
264414813,1530548314824,-13.866545,0.0025299
264414252,1530548215257,8.20564007,0.0025374
264414251,1530548215255,0.86337917,0.0025374
264414250,1530548215253,0.93098076,0.0025372
264413997,1530548151197,2.73147883,0.002537
264413996,1530548151196,1.05078945,0.0025369
264413995,1530548151194,1.72245717,0.0025368
264413994,1530548151193,2.61266629,0.0025368
264413993,1530548151191,15.768,0.0025368
264413992,1530548151190,3.08516706,0.0025368
264413991,1530548151189,3.25138871,0.0025368
264413547,1530548093596,417.0,0.002534
264413538,1530548088204,2.22145169,0.0025338
264413525,1530548086203,2.80258429,0.0025339
264413524,1530548086198,1.7089667,0.0025338
264413078,1530547985651,0.84654638,0.0025331
264412809,1530547955902,-23.575,0.0025313
264412524,1530547899196,-1.80833806,0.0025318
264412180,1530547825788,-2.05597954,0.0025345
264411462,1530547730327,39.36810385,0.0025371
264411461,1530547730325,325.0,0.002537
264411460,1530547730323,15.762,0.002537
264411459,1530547730321,55.0,0.0025369
264411458,1530547730319,6.45042691,0.0025369
264411457,1530547730317,6.64578019,0.0025369
264411456,1530547730315,3.77368905,0.0025369
264411346,1530547723106,-1.0,0.0025335
264410023,1530547590340,126.62413827,0.0025417
264410022,1530547590339,72.51801163,0.002541
264410021,1530547590338,14.90883317,0.0025409
264410020,1530547590336,25.0,0.0025405
264410019,1530547590335,5.94901693,0.0025402
264410018,1530547590333,55.0,0.0025395
264408893,1530547513666,110.40693711,0.0025398
264408279,1530547460352,55.0,0.0025397
264408278,1530547460351,1.36863502,0.0025395
264408277,1530547460350,0.18807591,0.0025374
264408108,1530547450198,-14.05487352,0.0025363
264408107,1530547450189,-5.94512648,0.0025364
264408103,1530547449621,4.56997409,0.0025374
264408102,1530547449619,0.46189762,0.0025374
264407920,1530547424896,55.0,0.0025361
264407919,1530547424891,1.25940064,0.0025359
264407265,1530547294005,0.0006,0.002532
264407263,1530547293195,93.576,0.002532
264407261,1530547292978,55.0,0.0025319
264407260,1530547292973,0.94642958,0.0025318
264407259,1530547292968,1.38526182,0.0025317
264407258,1530547292963,6.33704996,0.0025317
264407257,1530547292958,7.68067484,0.0025317
264407256,1530547292953,2.99424659,0.0025317
264406573,1530547181705,-64.86258572,0.0025316
264406572,1530547181698,-14.06204398,0.0025317
264405548,1530546999260,-0.85276305,0.0025317
264405383,1530546954253,0.98358211,0.002536
264405100,1530546877766,-5.96142955,0.0025322
264405084,1530546877003,-0.00124411,0.0025317
264405083,1530546877002,-5.96142955,0.0025319
264404934,1530546858070,3.44001766,0.002535
264404893,1530546849368,-14.03732634,0.0025314
264404892,1530546849359,-5.96267366,0.0025318
264404169,1530546669224,-4.37083259,0.0025294
264404145,1530546664988,-2.40300022,0.0025286
264403013,1530546504138,4.29615238,0.0025374
264402953,1530546493253,30.0,0.0025333
264402798,1530546455777,1.8,0.0025335
264402637,1530546434352,-29.42891965,0.0025275
264402636,1530546434340,-8.0016,0.0025276
264402634,1530546434338,-2.56948035,0.00253
264402633,1530546434335,-20.37424259,0.00253
264402631,1530546434333,-30.0,0.0025309
264402630,1530546434330,-25.0,0.0025317
264402629,1530546434329,-14.87590653,0.0025318
264402628,1530546434327,-142.59,0.0025318
264402627,1530546434326,-147.15985088,0.002539
264402624,1530546434051,-29.76279056,0.002539
264402587,1530546431434,-9.84064851,0.002539
