ID,MTS,AMOUNT,PRICE
264866446,1530649164807,-62.34819,16.557
264866417,1530649143397,-7.6,16.557
264866416,1530649143395,-1.2,16.559
264866415,1530649143388,-1.2,16.559
264866384,1530649127875,-60.4109848,16.574
264866383,1530649127870,-37.5,16.575
264866382,1530649127868,-39.6890152,16.576
264866381,1530649127866,-1.2,16.584
264866380,1530649127860,-1.2,16.592
264866373,1530649119300,1.0,16.594
264866356,1530649104310,-50.0,16.6
264866355,1530649104306,-1.2,16.609
264866265,1530649046559,-52.37638717,16.618
264866246,1530649031971,-58.844,16.618
264866245,1530649031325,-9.04918255,16.618
264866244,1530649031320,-1.44177108,16.619
264866243,1530649031316,-48.34504637,16.619
264866240,1530649031213,-3.12412403,16.619
264866238,1530649030327,-58.841,16.619
264866237,1530649029771,-14.10662587,16.619
264866236,1530649029767,-10.35367015,16.62
264866235,1530649029764,-34.38270398,16.62
264866233,1530649029171,-58.836,16.62
264866227,1530649023113,-39.49254537,16.62
264866226,1530649023108,-19.32045463,16.62
264866171,1530648988409,-93.9736,16.62
264866102,1530648962373,-3.09248407,16.62
264866057,1530648939029,-4.542,16.62
264866045,1530648931712,6.7077015,16.622
264866044,1530648931609,3.35383392,16.622
264866043,1530648930838,-7.63548411,16.62
264866042,1530648930834,-92.36451589,16.621
264865893,1530648871785,-30.0,16.621
264865866,1530648862223,-14.49396,16.621
264865838,1530648858553,-141.00570244,16.622
264865837,1530648858549,-83.77758953,16.623
264865823,1530648855377,-4.82154,16.623
264865817,1530648853697,-14.46463,16.623
264865803,1530648851862,-42.08916945,16.623
264865802,1530648851859,-137.91083055,16.623
264865800,1530648851716,-2.5122,16.623
264865799,1530648851511,-4.82953,16.623
264865795,1530648851006,-4.04759497,16.623
264865794,1530648851003,-147.22654225,16.624
264865793,1530648850999,-21.32622114,16.625
264865792,1530648850997,-1.2,16.625
264865791,1530648850990,-6.19964164,16.625
264865774,1530648849294,-14.48858,16.625
264865753,1530648847487,-22.936,16.625
264865747,1530648846689,-3.97931,16.625
264865726,1530648842809,-58.851,16.625
264865725,1530648841873,-36.62478407,16.625
264865724,1530648841869,-22.22621593,16.626
264865700,1530648837779,-14.4754,16.626
264865680,1530648836511,-4.82462,16.626
264865674,1530648836198,-14.4754,16.626
264865673,1530648836194,-24.758862,16.626
264865661,1530648833847,-58.17159124,16.626
264865660,1530648833844,-91.38540876,16.626
264865655,1530648833306,-43.39945386,16.626
264865654,1530648833302,-0.00044614,16.627
264865593,1530648829947,140.0,16.628
264865288,1530648779114,85.2,16.628
264865171,1530648737275,-116.173,16.627
264865170,1530648736808,-14.46418994,16.627
264865169,1530648736805,-0.00087006,16.628
264865168,1530648736529,-112.025,16.628
264865167,1530648736307,-14.46453948,16.628
264865166,1530648736303,-0.00052052,16.629
264865159,1530648733790,-122.34266248,16.629
264865158,1530648733785,-87.54033752,16.629
264865157,1530648733436,-12.01219282,16.629
264865108,1530648709508,-14.45983,16.629
264865079,1530648695239,-7.9161,16.629
264865054,1530648687889,-0.00010331,16.63
264865051,1530648687541,-31.677,16.63
264865049,1530648687194,-93.56913827,16.63
264865048,1530648687190,-6.00726879,16.631
264865047,1530648687187,-128.56402281,16.631
264865046,1530648687183,-0.00057013,16.632
264865044,1530648685767,-93.533,16.632
264865043,1530648685532,-41.66601515,16.632
264865042,1530648685527,-131.88180404,16.632
264865041,1530648685522,-61.11818081,16.633
264865040,1530648685385,-28.94081919,16.633
264865039,1530648685380,-6.00492403,16.633
264865038,1530648685377,-138.51736651,16.633
264865037,1530648685372,-1.2,16.634
264865036,1530648685366,-59.91564687,16.634
264865035,1530648685362,-140.17625713,16.635
264865034,1530648685357,-94.57698627,16.635
264865033,1530648685024,-48.91705209,16.635
264865032,1530648685019,-9.74594791,16.636
