ID,MTS,AMOUNT,PRICE
264425501,1530549646935,-3029.95872,4.01e-06
264425497,1530549646397,-3030.07348,4.01e-06
264425490,1530549644135,-3029.95872,4.01e-06
264425480,1530549642606,-3029.84396,4.01e-06
264425476,1530549641327,-3029.84396,4.01e-06
264415443,1530548396986,-3013.18267,4.04e-06
264415441,1530548396590,-3013.18267,4.04e-06
264330223,1530540221998,2430.10059,4.12e-06
264329614,1530540181407,-772.452,4.06e-06
264328859,1530540133835,480.0,4.1e-06
264294628,1530538669811,-3018.86792,4.04e-06
264282118,1530538358466,-8935.51065,4.11e-06
264269787,1530538156122,14920.5568615,4.11e-06
264212999,1530529099290,5000.0,3.93e-06
264212967,1530529096101,5000.0,3.92e-06
264203183,1530526524650,17242.59571987,3.96e-06
264184174,1530519773151,-7490.63,3.98e-06
264159001,1530513197657,-12722.64,3.94e-06
264158989,1530513190145,-7633.58,3.94e-06
264158957,1530513161367,-12722.64,3.94e-06
264158948,1530513155944,-12722.64,3.94e-06
264158947,1530513155599,-12722.64,3.94e-06
264158946,1530513155254,-7633.58,3.94e-06
264158942,1530513154644,-7633.58,3.94e-06
264158910,1530513138621,-22929.93,3.94e-06
264140910,1530506027381,-1.44255173,4.03e-06
264114066,1530494357834,7500.0,4.06e-06
264084604,1530486266565,587.66701742,4.06e-06
264081511,1530485642160,-5007.4307631,4.05e-06
264078735,1530484685177,-2609.55744827,4.03e-06
264078423,1530484529874,-24050.0,4.04e-06
264077865,1530484302349,10000.0,4.06e-06
264076409,1530483722347,9701.29318884,4.07e-06
264076387,1530483716686,2732.50419586,4.07e-06
264076386,1530483716685,0.0069599,4.03e-06
264076067,1530483669843,2611.55,4.03e-06
264075440,1530483601309,5265.57787782,4.03e-06
264075412,1530483594050,2484.36298298,4.03e-06
264075411,1530483594048,0.00783702,4e-06
264075336,1530483584306,999.99216298,4e-06
264075335,1530483584305,0.0038073,3.99e-06
264075172,1530483526384,2989.81,3.99e-06
264074844,1530483414937,2509.2768,3.99e-06
264074823,1530483410937,3135.49091,3.99e-06
264064812,1530480850240,62189.56,3.91e-06
264049195,1530477080155,-1258.76250289,3.91e-06
264043186,1530476197973,3188.47049,3.97e-06
264043096,1530476110370,8724.97079047,3.96e-06
264043092,1530476108157,-2619.42504882,3.93e-06
264043091,1530476107355,24673.5854022,3.98e-06
264043090,1530476107354,24000.0,3.97e-06
264043089,1530476107352,22929.93,3.96e-06
264043088,1530476107351,7195.4845978,3.95e-06
264042214,1530475551380,5996.2371649,3.91e-06
264036542,1530472941366,14531.95,3.86e-06
264036541,1530472941361,23468.05,3.85e-06
264025355,1530466092570,2045.37113402,3.88e-06
264021519,1530464015213,2624.671875,3.83e-06
263979534,1530455616122,-11550.0,3.73e-06
263979533,1530455615595,-2174.92320328,3.74e-06
263979531,1530455615594,-8913.07679672,3.75e-06
263979514,1530455615318,-17347.92320328,3.75e-06
263969134,1530451508946,1488.47693473,3.79e-06
263968312,1530451151783,2179.74553259,3.84e-06
263968311,1530451149548,3412.47603024,3.84e-06
263966428,1530450663558,3112.2,3.82e-06
263855119,1530404032519,4996.8643042,3.87e-06
263826554,1530395648451,8297.46073298,3.82e-06
263825030,1530394750864,489.2486911,3.8e-06
263786904,1530382067026,-958.93019128,3.81e-06
263786903,1530382066792,-11822.08524314,3.81e-06
263786901,1530382066762,-1846.46588847,3.81e-06
263774218,1530378077841,0.0035869,3.83e-06
263773582,1530377867771,4164.05,3.83e-06
263758949,1530374136831,3470.0446558,3.79e-06
263751957,1530372551097,9292.03430079,3.78e-06
263682121,1530352418322,7957.55,3.77e-06
263682035,1530352407903,-6445.57654261,3.76e-06
263682029,1530352407863,-9269.832,3.76e-06
263682023,1530352407842,-4998.61563692,3.76e-06
263682014,1530352405773,1766.18982586,3.73e-06
263681999,1530352402061,18434.0,3.72e-06
263671602,1530348606668,-3190.3,3.67e-06
263591021,1530325630653,3025.81,3.73e-06
263590968,1530325613869,3025.81939053,3.73e-06
263590432,1530325498317,-5066.46635298,3.71e-06
263590316,1530325473019,-5000.0,3.72e-06
263589936,1530325410552,-5000.0,3.72e-06
263589638,1530325365359,2677.0092,3.74e-06
263589628,1530325363691,-2676.9994,3.73e-06
263589623,1530325362722,1530.2806,3.73e-06
263589619,1530325362062,2677.0092,3.73e-06
263589572,1530325356639,-5000.0,3.71e-06
263589569,1530325356152,-5000.0,3.72e-06
263589453,1530325341241,24000.0,3.73e-06
263589241,1530325313911,-5000.0,3.71e-06
263589230,1530325313230,-5000.0,3.72e-06
263588964,1530325283381,-5000.0,3.72e-06
263588954,1530325280738,24000.0,3.73e-06
263588784,1530325252115,-5000.0,3.72e-06
263588599,1530325214620,-5000.0,3.73e-06
263588277,1530325153294,-5000.0,3.73e-06
263587874,1530325088581,-5000.0,3.73e-06
263587418,1530325024577,-5000.0,3.73e-06
263586953,1530324962172,-5000.0,3.73e-06
263585594,1530324783193,-5000.0,3.71e-06
263585528,1530324780227,-3010.68,3.73e-06
263585497,1530324779180,-5000.0,3.73e-06
263580587,1530324255248,-5000.0,3.73e-06
263580102,1530324213228,-5000.0,3.73e-06
263579711,1530324181571,-5000.0,3.73e-06
263578095,1530324066758,-5000.0,3.73e-06
263578094,1530324066332,-5000.0,3.74e-06
263576934,1530324004722,-5000.0,3.72e-06
263574561,1530323903260,-5000.0,3.73e-06
263574494,1530323896943,-5000.0,3.73e-06
263573272,1530323743500,-5000.0,3.75e-06
263572742,1530323682290,-5000.0,3.73e-06
263572740,1530323681722,-5000.0,3.74e-06
263572733,1530323681173,-5000.0,3.75e-06
263572099,1530323618110,-5000.0,3.75e-06
263571793,1530323572946,-5000.0,3.73e-06
263571786,1530323572214,-5000.0,3.73e-06
263571487,1530323543222,-5000.0,3.73e-06
263571283,1530323515312,-5000.0,3.73e-06
263571278,1530323514227,-5000.0,3.73e-06
263571259,1530323512400,-5000.0,3.74e-06
263570974,1530323488721,2304.9,3.77e-06
263570927,1530323483707,-5000.0,3.73e-06
263570925,1530323483440,-5000.0,3.73e-06
263570685,1530323455900,5000.0,3.72e-06
263570681,1530323454490,-2455.00082136,3.73e-06
263570680,1530323454489,-2544.99917864,3.73e-06
263570678,1530323453332,-5000.0,3.73e-06
263570672,1530323452814,-5000.0,3.73e-06
263570670,1530323451921,-5000.0,3.73e-06
263570657,1530323450824,-5000.0,3.73e-06
263570653,1530323450174,-5000.0,3.73e-06
263570627,1530323449687,-0.00082136,3.73e-06
263570626,1530323449686,-4999.99917864,3.73e-06
263570624,1530323449341,-5000.0,3.74e-06
263569946,1530323375770,-5000.0,3.75e-06
263568390,1530323247798,-4121.67,3.73e-06
263568389,1530323247797,-878.33,3.73e-06
263568385,1530323247289,-5000.0,3.73e-06
263568381,1530323246843,-5000.0,3.73e-06
263568374,1530323246122,-5000.0,3.73e-06
263568371,1530323245837,-5000.0,3.73e-06
263568369,1530323245573,-5000.0,3.73e-06
263568366,1530323245169,-1666.67,3.73e-06
263568365,1530323245167,-3333.33,3.73e-06
263568361,1530323244792,-5000.0,3.74e-06
263568347,1530323244144,-1666.67,3.73e-06
263568346,1530323244142,-3333.33,3.73e-06
263568294,1530323237806,-3333.33,3.74e-06
263568278,1530323237147,-1666.67,3.73e-06
263568277,1530323237145,-3333.33,3.74e-06
263568266,1530323236455,-5000.0,3.74e-06
263568208,1530323230142,-5000.0,3.74e-06
263568011,1530323221808,-5000.0,3.73e-06
263567370,1530323188858,-5000.0,3.73e-06
263567351,1530323188172,-5000.0,3.73e-06
263567159,1530323180607,-3021.39,3.73e-06
263567132,1530323177465,-5000.0,3.73e-06
263566894,1530323168992,-2455.0,3.72e-06
263566893,1530323168990,-2545.0,3.72e-06
263566891,1530323168757,-5000.0,3.72e-06
263566844,1530323165154,-5000.0,3.72e-06
263566829,1530323164799,-5000.0,3.72e-06
263566809,1530323164322,-5000.0,3.72e-06
263566807,1530323163835,-5000.0,3.72e-06
263566667,1530323158077,-5000.0,3.73e-06
263566617,1530323152765,-5000.0,3.73e-06
263566454,1530323139473,-5000.0,3.72e-06
263566445,1530323139149,-5000.0,3.72e-06
263566439,1530323138825,-5000.0,3.72e-06
263566425,1530323138316,-5000.0,3.72e-06
263566413,1530323137534,-5000.0,3.72e-06
263566390,1530323136509,-5000.0,3.72e-06
263566361,1530323135646,-5000.0,3.72e-06
263566359,1530323135271,-5000.0,3.72e-06
263566353,1530323134398,-5000.0,3.72e-06
