ID,MTS,AMOUNT,PRICE
264866442,1530649163232,13.187645,87.177
264866441,1530649163222,2.0,87.148
264866440,1530649163218,10.812355,87.136
264866439,1530649163212,4.0,87.128
264866187,1530648999327,-15.81999992,87.126
264866186,1530648999325,-1.34370489,87.137
264866185,1530648999322,-9.00570035,87.138
264866184,1530648999321,-3.83059484,87.148
264866098,1530648959154,1.1,87.203
264866066,1530648944946,2.14746329,87.171
264866065,1530648944547,1.07407484,87.167
264866063,1530648943629,2.75652,87.167
264865878,1530648865231,-10.0,87.198
264865790,1530648850778,-24.0,87.082
264865789,1530648850776,-2.0,87.082
264865788,1530648850774,-4.0,87.083
264865780,1530648849895,-1.96855037,87.08
264865779,1530648849893,-40.0,87.08
264865778,1530648849892,-37.0,87.08
264865777,1530648849890,-2.0,87.089
264865776,1530648849888,-9.03144963,87.133
264865775,1530648849886,-10.0,87.155
264865402,1530648810224,-3.70245011,87.192
264865401,1530648810222,-0.3,87.201
264865400,1530648810216,-30.29754989,87.202
264865399,1530648810214,-10.0,87.203
264865398,1530648810212,-0.3,87.203
264865397,1530648810206,-1.4,87.214
264865396,1530648810204,-4.0,87.224
264864997,1530648676770,0.81179969,87.275
264864845,1530648627119,-2.0,87.288
264864841,1530648626544,-3.0306,87.305
264864838,1530648626543,-6.35585434,87.305
264864837,1530648626430,-8.80527185,87.305
264864809,1530648623958,2.18820031,87.327
264864807,1530648623834,2.88133821,87.334
264864805,1530648623794,-2.0,87.338
264864804,1530648623792,-4.0,87.341
264864802,1530648623668,0.8109332,87.348
264864801,1530648623616,-1.50245674,87.349
264864800,1530648623493,-0.459,87.349
264864799,1530648623492,-0.227,87.349
264864796,1530648623286,-0.222,87.349
264864795,1530648623161,-0.231,87.349
264864794,1530648623141,-0.227,87.349
264864793,1530648623120,-0.353,87.349
264864792,1530648622821,-0.212,87.349
264864376,1530648582398,12.057,87.376
264864375,1530648582395,0.3,87.376
264864329,1530648579169,0.3,87.334
264864325,1530648578795,0.2,87.317
264864316,1530648578458,4.8201,87.264
264864300,1530648578244,7.653046,87.258
264863660,1530648430846,5.75014898,87.119
264863612,1530648402054,2.28019,87.203
264863607,1530648399868,0.91852,87.201
264863579,1530648392117,1.0,87.211
264863558,1530648383995,0.3,87.203
264863557,1530648383626,0.3,87.201
264863475,1530648372407,57.3572,87.11
264863465,1530648371661,0.3,87.073
264863463,1530648371656,0.3,87.027
264863462,1530648371433,12.516492,87.004
264863461,1530648371429,12.26937974,87.004
264863460,1530648371295,0.92978926,87.004
264863456,1530648370709,-0.5,86.984
264863206,1530648272349,0.2,86.895
264863178,1530648248573,189.44311361,86.831
264863177,1530648248093,-10.0,86.844
264863176,1530648248091,-39.0,86.85
264863175,1530648248090,-19.0,86.85
264863174,1530648248088,-0.3,86.853
264863173,1530648248080,-2.0,86.865
264863172,1530648248079,-8.89988639,86.866
264863171,1530648248077,-0.3,86.942
264863170,1530648248071,-14.557,86.946
264863169,1530648248070,-5.0,86.946
264863168,1530648248069,-1.5,86.946
264863167,1530648248067,-10.0,86.946
264862674,1530648113107,1.0,86.975
264862494,1530648073721,1.21,87.093
264862493,1530648073716,0.3,87.073
264862492,1530648073708,0.3,87.027
264862459,1530648064447,-1.0,86.989
264862434,1530648061671,-4.98714898,86.854
264862433,1530648061669,-0.763,86.854
264862432,1530648061634,4.45830929,86.98
264862431,1530648061630,0.36,86.98
264862430,1530648061629,0.3,86.942
264862421,1530648060701,2.45477,86.845
264862296,1530648056030,2.0,86.807
264862289,1530648054877,2.0,86.804
264862274,1530648054085,7.28595382,86.819
264862273,1530648054084,2.0,86.805
264862253,1530648053424,0.282,86.792
264862252,1530648053405,0.332,86.792
264862251,1530648053404,0.554,86.792
264862243,1530648052422,0.29,86.786
264862242,1530648052279,0.225,86.786
264862241,1530648052268,0.248,86.786
264862209,1530648049569,-2.0,86.708
264862174,1530648046350,-13.2,86.732
264862173,1530648046347,-1.8,86.732
264862158,1530648044832,-0.2,86.732
264862156,1530648044516,-0.03148778,86.728
264862155,1530648044513,-0.00010586,86.77
264862154,1530648044510,-0.16840636,86.78
264862153,1530648044353,0.41147246,86.812
264862152,1530648044318,-3.83159364,86.78
264862151,1530648044314,-4.0,86.79
264862132,1530648041578,1.5,86.792
264862101,1530648038516,2.17430415,86.812
264862100,1530648038514,2.0,86.807
264862099,1530648038511,4.0,86.797
264862059,1530648034064,-53.609,86.78
264862058,1530648034060,-4.0,86.79
264862019,1530648032478,-2.514,86.77
264862012,1530648032130,-0.3,86.811
264862009,1530648031769,-4.51e-06,86.841
264862008,1530648031765,-0.316,86.841
264862003,1530648031282,-0.3,86.852
264862002,1530648031175,-0.00093113,86.86
264861995,1530648030700,-1.519,86.86
264861992,1530648030216,-27.20689039,86.87
264861991,1530648030168,-15.50853,86.87
264861989,1530648030027,2.61640642,86.892
264861988,1530648030024,-58.63296587,86.87
264861975,1530648029645,-3.03299549,86.891
264861974,1530648029643,-0.31600451,86.891
264861914,1530648028853,-0.21,86.926
264861910,1530648028769,-0.21,86.926
264861908,1530648028602,-0.21,86.9
264861896,1530648027963,-0.16977671,86.942
264861895,1530648027961,-0.3,86.942
264861894,1530648027956,-0.00022329,86.95
264861892,1530648027839,-1.53,86.95
264861891,1530648027836,-4.51e-06,86.967
264861890,1530648027833,-0.316,86.967
264861878,1530648027121,-1.005e-05,87.008
264861856,1530648026477,-0.31599446,87.008
264861855,1530648026474,-5.54e-06,87.027
264861848,1530648026155,-0.29999446,87.027
264861847,1530648026150,-5.54e-06,87.04
264861826,1530648025169,-1.53018,87.04
264861704,1530648017783,-2.0,87.054
264861703,1530648017781,-2.0,87.058
264861676,1530648017034,-0.3,87.072
264861598,1530648014384,1.3943058,87.109
264861588,1530648014136,2.22695872,87.121
264861587,1530648014126,1.11419623,87.121
264861579,1530648013888,-3.44378312,87.126
264861565,1530648013536,-2.0,87.147
264861489,1530647997720,-1.0,87.155
264861488,1530647997680,-0.75,87.155
264861487,1530647997673,-0.25,87.155
264861486,1530647997665,-0.5,87.168
264861485,1530647997655,-1.0,87.168
264861465,1530647992996,-7.457e-05,87.293
